User Time (s), System Time (s), Real Time (s), Executable Size (KB)
3.83, 2.44, 6.28, 4314.74 
3.81, 2.57, 6.39, 4314.74 
3.78, 2.59, 6.38, 4314.74 
3.88, 2.48, 6.37, 4314.74 
3.80, 2.59, 6.40, 4314.74 
3.80, 2.54, 6.35, 4314.74 
3.88, 2.49, 6.38, 4314.74 
3.82, 2.56, 6.38, 4314.74 
3.88, 2.52, 6.41, 4314.74 
3.69, 2.67, 6.37, 4314.74 
3.85, 2.56, 6.42, 4314.74 
3.90, 2.48, 6.39, 4314.74 
3.71, 2.68, 6.40, 4314.74 
3.89, 2.53, 6.43, 4314.74 
3.69, 2.60, 6.30, 4314.74 
3.90, 2.48, 6.38, 4314.74 
3.72, 2.57, 6.30, 4314.74 
3.77, 2.61, 6.39, 4314.74 
3.72, 2.56, 6.29, 4314.74 
3.86, 2.53, 6.40, 4314.74 
3.71, 2.58, 6.30, 4314.74 
3.80, 2.60, 6.41, 4314.74 
3.76, 2.54, 6.30, 4314.74 
3.87, 2.54, 6.42, 4314.74 
3.80, 2.48, 6.29, 4314.74 
3.72, 2.64, 6.38, 4314.74 
3.79, 2.50, 6.29, 4314.74 
3.82, 2.51, 6.34, 4314.74 
3.78, 2.61, 6.39, 4314.74 
3.91, 2.37, 6.29, 4314.74 
