User Time (s), System Time (s), Real Time (s), Executable Size (KB)
5.10, 0.07, 5.18, 16.34 
5.12, 0.07, 5.20, 16.34 
5.11, 0.05, 5.17, 16.34 
5.13, 0.07, 5.21, 16.34 
5.10, 0.06, 5.17, 16.34 
5.16, 0.06, 5.22, 16.34 
5.13, 0.06, 5.20, 16.34 
5.16, 0.06, 5.23, 16.34 
5.09, 0.07, 5.17, 16.34 
5.16, 0.06, 5.22, 16.34 
5.18, 0.04, 5.22, 16.34 
5.13, 0.08, 5.21, 16.34 
5.16, 0.06, 5.22, 16.34 
5.15, 0.06, 5.21, 16.34 
5.12, 0.08, 5.20, 16.34 
5.12, 0.07, 5.20, 16.34 
5.16, 0.05, 5.21, 16.34 
5.15, 0.07, 5.23, 16.34 
5.11, 0.08, 5.19, 16.34 
5.15, 0.06, 5.22, 16.34 
5.14, 0.06, 5.21, 16.34 
5.16, 0.07, 5.23, 16.34 
5.21, 0.06, 5.29, 16.34 
5.16, 0.06, 5.23, 16.34 
5.14, 0.07, 5.21, 16.34 
5.18, 0.06, 5.25, 16.34 
5.14, 0.06, 5.20, 16.34 
5.11, 0.07, 5.19, 16.34 
5.17, 0.07, 5.24, 16.34 
5.14, 0.06, 5.20, 16.34 
