User Time (s), System Time (s), Real Time (s), Executable Size (KB)
3.64, 0.06, 3.70, 4304.99 
3.64, 0.07, 3.72, 4304.99 
3.66, 0.05, 3.72, 4304.99 
3.68, 0.06, 3.75, 4304.99 
3.65, 0.07, 3.72, 4304.99 
3.66, 0.07, 3.73, 4304.99 
3.70, 0.05, 3.75, 4304.99 
3.66, 0.05, 3.72, 4304.99 
3.65, 0.06, 3.71, 4304.99 
3.67, 0.04, 3.72, 4304.99 
3.62, 0.08, 3.71, 4304.99 
3.64, 0.07, 3.71, 4304.99 
3.65, 0.05, 3.71, 4304.99 
3.64, 0.06, 3.70, 4304.99 
3.67, 0.04, 3.72, 4304.99 
3.63, 0.07, 3.70, 4304.99 
3.62, 0.08, 3.71, 4304.99 
3.64, 0.07, 3.72, 4304.99 
3.61, 0.08, 3.70, 4304.99 
3.65, 0.07, 3.73, 4304.99 
3.67, 0.06, 3.74, 4304.99 
3.67, 0.05, 3.73, 4304.99 
3.64, 0.07, 3.71, 4304.99 
3.65, 0.07, 3.73, 4304.99 
3.59, 0.07, 3.67, 4304.99 
3.68, 0.06, 3.74, 4304.99 
3.62, 0.07, 3.70, 4304.99 
3.66, 0.06, 3.72, 4304.99 
3.62, 0.06, 3.68, 4304.99 
3.65, 0.07, 3.73, 4304.99 
