User Time (s), System Time (s), Real Time (s), Executable Size (KB)
3.57, 0.06, 3.63, 4304.99 
3.56, 0.07, 3.64, 4304.99 
3.56, 0.07, 3.63, 4304.99 
3.56, 0.08, 3.65, 4304.99 
3.55, 0.08, 3.64, 4304.99 
3.58, 0.05, 3.63, 4304.99 
3.55, 0.07, 3.63, 4304.99 
3.57, 0.06, 3.63, 4304.99 
3.59, 0.06, 3.65, 4304.99 
3.53, 0.06, 3.60, 4304.99 
3.56, 0.07, 3.64, 4304.99 
3.57, 0.05, 3.62, 4304.99 
3.55, 0.06, 3.62, 4304.99 
3.54, 0.08, 3.63, 4304.99 
3.53, 0.09, 3.63, 4304.99 
3.58, 0.06, 3.65, 4304.99 
3.56, 0.06, 3.62, 4304.99 
3.56, 0.07, 3.63, 4304.99 
3.56, 0.07, 3.64, 4304.99 
3.59, 0.05, 3.65, 4304.99 
3.53, 0.06, 3.59, 4304.99 
3.62, 0.05, 3.67, 4304.99 
3.56, 0.06, 3.62, 4304.99 
3.57, 0.08, 3.65, 4304.99 
3.56, 0.05, 3.62, 4304.99 
3.58, 0.06, 3.64, 4304.99 
3.56, 0.07, 3.64, 4304.99 
3.55, 0.06, 3.62, 4304.99 
3.55, 0.07, 3.63, 4304.99 
3.58, 0.06, 3.65, 4304.99 
