User Time (s), System Time (s), Real Time (s), Executable Size (KB)
12.45, 0.00, 12.45, 5030.91 
12.48, 0.00, 12.48, 5030.91 
12.45, 0.00, 12.46, 5030.91 
12.46, 0.00, 12.47, 5030.91 
12.46, 0.00, 12.47, 5030.91 
12.46, 0.00, 12.47, 5030.91 
12.46, 0.00, 12.47, 5030.91 
12.46, 0.00, 12.46, 5030.91 
12.45, 0.00, 12.45, 5030.91 
12.48, 0.00, 12.48, 5030.91 
12.46, 0.00, 12.46, 5030.91 
12.45, 0.00, 12.46, 5030.91 
12.47, 0.00, 12.48, 5030.91 
12.47, 0.00, 12.47, 5030.91 
12.45, 0.00, 12.46, 5030.91 
12.45, 0.00, 12.45, 5030.91 
12.47, 0.00, 12.47, 5030.91 
12.48, 0.00, 12.48, 5030.91 
12.47, 0.00, 12.47, 5030.91 
12.46, 0.00, 12.46, 5030.91 
12.47, 0.00, 12.47, 5030.91 
12.46, 0.00, 12.47, 5030.91 
12.48, 0.00, 12.48, 5030.91 
12.47, 0.00, 12.47, 5030.91 
12.46, 0.00, 12.46, 5030.91 
12.46, 0.00, 12.46, 5030.91 
12.47, 0.00, 12.48, 5030.91 
12.48, 0.00, 12.48, 5030.91 
12.44, 0.00, 12.45, 5030.91 
12.47, 0.00, 12.47, 5030.91 
