User Time (s), System Time (s), Real Time (s), Executable Size (KB)
373.82, 0.02, 2.76, 152.09 
377.87, 0.03, 2.71, 152.09 
378.33, 0.01, 2.77, 152.09 
377.65, 0.01, 2.71, 152.09 
378.69, 0.01, 2.77, 152.09 
378.20, 0.03, 2.72, 152.09 
378.73, 0.03, 2.77, 152.09 
378.26, 0.02, 2.79, 152.09 
377.87, 0.01, 2.77, 152.09 
377.79, 0.02, 2.71, 152.09 
378.61, 0.03, 2.78, 152.09 
378.38, 0.02, 2.79, 152.09 
377.80, 0.03, 2.89, 152.09 
377.36, 0.02, 2.71, 152.09 
378.20, 0.03, 2.77, 152.09 
377.93, 0.03, 2.72, 152.09 
378.50, 0.01, 2.77, 152.09 
379.33, 0.02, 2.72, 152.09 
378.72, 0.01, 2.77, 152.09 
378.63, 0.02, 2.72, 152.09 
379.18, 0.02, 2.92, 152.09 
377.63, 0.01, 2.71, 152.09 
379.06, 0.02, 2.78, 152.09 
381.69, 0.01, 2.74, 152.09 
378.25, 0.01, 2.76, 152.09 
378.85, 0.01, 2.72, 152.09 
379.23, 0.02, 2.78, 152.09 
378.39, 0.02, 2.72, 152.09 
379.46, 0.03, 2.78, 152.09 
378.39, 0.01, 2.72, 152.09 
