User Time (s), System Time (s), Real Time (s), Executable Size (KB)
8.40, 3.05, 11.45, 20.41 
9.59, 2.96, 12.56, 20.41 
8.62, 2.67, 11.30, 20.41 
8.55, 2.71, 11.27, 20.41 
8.50, 2.77, 11.27, 20.41 
8.38, 2.90, 11.29, 20.41 
8.58, 2.59, 11.18, 20.41 
8.43, 2.81, 11.25, 20.41 
8.56, 2.88, 11.45, 20.41 
9.67, 2.83, 12.51, 20.41 
8.61, 2.65, 11.27, 20.41 
8.51, 2.77, 11.29, 20.41 
8.51, 2.67, 11.19, 20.41 
8.62, 2.63, 11.26, 20.41 
8.52, 2.71, 11.23, 20.41 
8.63, 2.56, 11.19, 20.41 
8.54, 2.67, 11.21, 20.41 
8.36, 2.94, 11.32, 20.41 
8.43, 2.82, 11.26, 20.41 
8.47, 2.81, 11.28, 20.41 
8.50, 2.73, 11.24, 20.41 
8.44, 2.85, 11.30, 20.41 
8.33, 2.88, 11.22, 20.41 
8.47, 2.80, 11.29, 20.41 
8.62, 2.63, 11.26, 20.41 
8.45, 2.86, 11.32, 20.41 
8.42, 2.85, 11.28, 20.41 
8.57, 2.70, 11.28, 20.41 
8.45, 2.77, 11.23, 20.41 
8.50, 2.74, 11.25, 20.41 
