User Time (s), System Time (s), Real Time (s), Executable Size (KB)
8.60, 2.71, 11.32, 20.41 
8.40, 2.85, 11.27, 20.41 
8.52, 2.73, 11.27, 20.41 
8.52, 2.73, 11.26, 20.41 
8.47, 2.80, 11.28, 20.41 
8.52, 2.66, 11.20, 20.41 
8.56, 2.67, 11.25, 20.41 
8.65, 2.51, 11.17, 20.41 
8.55, 2.69, 11.25, 20.41 
8.60, 2.59, 11.21, 20.41 
8.39, 2.89, 11.29, 20.41 
8.66, 2.51, 11.18, 20.41 
8.50, 2.72, 11.23, 20.41 
8.46, 2.78, 11.25, 20.41 
8.46, 2.69, 11.16, 20.41 
8.49, 2.80, 11.30, 20.41 
8.52, 2.97, 11.50, 20.41 
8.95, 2.75, 11.71, 20.41 
8.57, 2.65, 11.23, 20.41 
8.43, 2.83, 11.27, 20.41 
8.30, 2.91, 11.23, 20.41 
8.72, 2.61, 11.34, 20.41 
8.58, 2.75, 11.34, 20.41 
8.54, 2.72, 11.27, 20.41 
8.43, 2.99, 11.43, 20.41 
8.38, 2.96, 11.35, 20.41 
8.51, 2.77, 11.29, 20.41 
8.37, 2.94, 11.31, 20.41 
8.92, 2.69, 11.62, 20.41 
8.28, 3.05, 11.33, 20.41 
